"part","term","statistic","Base Model","Interaction Model"
"estimates","Energy Class A+","estimate","0.225***","0.221***"
"estimates","Energy Class A+","std.error","(0.016)","(0.022)"
"estimates","Energy Class A","estimate","0.212***","0.197***"
"estimates","Energy Class A","std.error","(0.017)","(0.022)"
"estimates","Energy Class B","estimate","0.109***","0.080***"
"estimates","Energy Class B","std.error","(0.014)","(0.018)"
"estimates","Energy Class D","estimate","0.033**","0.042***"
"estimates","Energy Class D","std.error","(0.011)","(0.011)"
"estimates","Energy Class E","estimate","0.089***","0.077***"
"estimates","Energy Class E","std.error","(0.019)","(0.014)"
"estimates","Energy Class F","estimate","0.097***","0.106***"
"estimates","Energy Class F","std.error","(0.022)","(0.021)"
"estimates","Energy Class G","estimate","0.090**","0.095***"
"estimates","Energy Class G","std.error","(0.029)","(0.023)"
"estimates","Energy Class H","estimate","0.128***","0.131***"
"estimates","Energy Class H","std.error","(0.028)","(0.031)"
"estimates","Urban Region","estimate","0.083*","0.073"
"estimates","Urban Region","std.error","(0.035)","(0.044)"
"estimates","Living Area (sqm)","estimate","0.002***","0.002***"
"estimates","Living Area (sqm)","std.error","(0.000)","(0.000)"
"estimates","Rooms","estimate","-0.072***","-0.072***"
"estimates","Rooms","std.error","(0.009)","(0.009)"
"estimates","Year Built","estimate","0.002***","0.002***"
"estimates","Year Built","std.error","(0.000)","(0.000)"
"estimates","Constant","estimate","-1.486**","-1.463**"
"estimates","Constant","std.error","(0.483)","(0.485)"
"gof","Num.Obs.","","25181","25181"
"gof","R2","","0.389","0.390"
"gof","R2 Adj.","","0.387","0.388"
